"assignee_id","organization","n_patents"
"org_ONzMjdbZXiKfw4L0cXl6","International Business Machines Corporation",7547
"org_pCbqlmAg8wlWzoi18ITD","Samsung Electronics Co., Ltd.",5835
"org_eAKK85fawH0NS7AdXOig","Canon Kabushiki Kaisha",4099
"org_g8U335TH48QmGJOIQnNl","Sony Corporation",3326
"org_LKW5uc4C9BNTBapFdHzJ","Microsoft Corporation",3165
"org_LRPLF1XVb00MQdPndIbu","Google Inc.",2668
"org_EccJQIigrq4WyGinD0b8","Kabushiki Kaisha Toshiba",2656
"org_adUSPYdjFbyHvoVakUrc","QUALCOMM Incorporated",2597
"org_dfvuIWENawcU6lTd1Z3w","LG Electronics Inc.",2459
"org_h5J6cVWyUahTuvNuksTb","Panasonic Corporation",2218
